Country/Territory/Area,Confirmed cases,Total cases with travel history to China,Total cases with possible or confirmed transmission outside of China,Total cases with site of transmission under investigation,Total deaths,report date
China,278.0,,,,6.0,2020-01-21
Japan,1.0,,,,0.0,2020-01-21
Republic of Korea,1.0,,,,0.0,2020-01-21
Thailand,2.0,,,,0.0,2020-01-21
Total,282.0,,,,6.0,2020-01-21
China,309.0,,,,6.0,2020-01-22
Taiwan,1.0,,,,0.0,2020-01-22
Japan,1.0,,,,0.0,2020-01-22
Republic of Korea,1.0,,,,0.0,2020-01-22
Thailand,2.0,,,,0.0,2020-01-22
Total,314.0,,,,6.0,2020-01-22
China,571.0,,,,17.0,2020-01-23
Taiwan,1.0,,,,0.0,2020-01-23
Hong Kong,1.0,,,,0.0,2020-01-23
Macau,1.0,,,,0.0,2020-01-23
Japan,1.0,,,,0.0,2020-01-23
Republic of Korea,1.0,,,,0.0,2020-01-23
Thailand,4.0,,,,0.0,2020-01-23
United States of America,1.0,,,,0.0,2020-01-23
Total,581.0,,,,17.0,2020-01-23
Japan,1.0,,,,0.0,2020-01-24
Republic of Korea,2.0,,,,0.0,2020-01-24
Viet Nam,2.0,,,,0.0,2020-01-24
Singapore,1.0,,,,0.0,2020-01-24
Thailand,4.0,,,,0.0,2020-01-24
United States of America,1.0,,,,0.0,2020-01-24
Total,846.0,,,,25.0,2020-01-24
Taiwan,1.0,,,,0.0,2020-01-24
Hong Kong,2.0,,,,0.0,2020-01-24
Macau,2.0,,,,0.0,2020-01-24
China,830.0,,,,25.0,2020-01-24
China,1287.0,,,,41.0,2020-01-25
Japan,3.0,,,,0.0,2020-01-25
Republic of Korea,2.0,,,,0.0,2020-01-25
Viet Nam,2.0,,,,0.0,2020-01-25
Singapore,3.0,,,,0.0,2020-01-25
Australia,3.0,,,,0.0,2020-01-25
Thailand,4.0,,,,0.0,2020-01-25
Nepal,1.0,,,,0.0,2020-01-25
United States of America,2.0,,,,0.0,2020-01-25
France,3.0,,,,0.0,2020-01-25
Total,1320.0,,,,41.0,2020-01-25
Hong Kong,5.0,,,,0.0,2020-01-25
Macau,2.0,,,,0.0,2020-01-25
Taiwan,3.0,,,,0.0,2020-01-25
China,1975.0,,,,56.0,2020-01-26
Japan,3.0,,,,0.0,2020-01-26
Republic of Korea,2.0,,,,0.0,2020-01-26
Viet Nam,2.0,,,,0.0,2020-01-26
Singapore,4.0,,,,0.0,2020-01-26
Australia,4.0,,,,0.0,2020-01-26
Malaysia,3.0,,,,0.0,2020-01-26
Thailand,5.0,,,,0.0,2020-01-26
Nepal,1.0,,,,0.0,2020-01-26
United States of America,2.0,,,,0.0,2020-01-26
France,3.0,,,,0.0,2020-01-26
Total,2014.0,,,,56.0,2020-01-26
Hong Kong,5.0,,,,0.0,2020-01-26
Macau,2.0,,,,0.0,2020-01-26
Taiwan,3.0,,,,0.0,2020-01-26
China,2741.0,,,,80.0,2020-01-27
Japan,4.0,,,,0.0,2020-01-27
Republic of Korea,4.0,,,,0.0,2020-01-27
Viet Nam,2.0,,,,0.0,2020-01-27
Singapore,4.0,,,,0.0,2020-01-27
Australia,4.0,,,,0.0,2020-01-27
Malaysia,4.0,,,,0.0,2020-01-27
Thailand,5.0,,,,0.0,2020-01-27
Nepal,1.0,,,,0.0,2020-01-27
United States of America,5.0,,,,0.0,2020-01-27
Canada,1.0,,,,0.0,2020-01-27
France,3.0,,,,0.0,2020-01-27
Total,2798.0,,,,80.0,2020-01-27
Hong Kong,8.0,,,,0.0,2020-01-27
Macau,5.0,,,,0.0,2020-01-27
Taiwan,4.0,,,,0.0,2020-01-27
China,4515.0,,,,106.0,2020-01-28
Japan,6.0,,,,0.0,2020-01-28
Republic of Korea,4.0,,,,0.0,2020-01-28
Viet Nam,2.0,,,,0.0,2020-01-28
Singapore,7.0,,,,0.0,2020-01-28
Australia,5.0,,,,0.0,2020-01-28
Malaysia,4.0,,,,0.0,2020-01-28
Cambodia,1.0,,,,0.0,2020-01-28
Thailand,14.0,,,,0.0,2020-01-28
Nepal,1.0,,,,0.0,2020-01-28
Sri Lanka,1.0,,,,0.0,2020-01-28
United States of America,5.0,,,,0.0,2020-01-28
Canada,2.0,,,,0.0,2020-01-28
France,3.0,,,,0.0,2020-01-28
Germany,1.0,,,,0.0,2020-01-28
Total,4593.0,,,,106.0,2020-01-28
Hong Kong,8.0,,,,0.0,2020-01-28
Macau,7.0,,,,0.0,2020-01-28
Taiwan,7.0,,,,0.0,2020-01-28
China,5974.0,,,,132.0,2020-01-29
Japan,7.0,,,,0.0,2020-01-29
Republic of Korea,4.0,,,,0.0,2020-01-29
Viet Nam,2.0,,,,0.0,2020-01-29
Singapore,7.0,,,,0.0,2020-01-29
Australia,7.0,,,,0.0,2020-01-29
Malaysia,4.0,,,,0.0,2020-01-29
Cambodia,1.0,,,,0.0,2020-01-29
Thailand,14.0,,,,0.0,2020-01-29
Nepal,1.0,,,,0.0,2020-01-29
Sri Lanka,1.0,,,,0.0,2020-01-29
United States of America,5.0,,,,0.0,2020-01-29
Canada,3.0,,,,0.0,2020-01-29
France,4.0,,,,0.0,2020-01-29
Germany,4.0,,,,0.0,2020-01-29
United Arab Emirates,4.0,,,,0.0,2020-01-29
Total,6065.0,,,,132.0,2020-01-29
Hong Kong,8.0,,,,0.0,2020-01-29
Macau,7.0,,,,0.0,2020-01-29
Taiwan,8.0,,,,0.0,2020-01-29
China,7711.0,,,,170.0,2020-01-30
Japan,11.0,,,,0.0,2020-01-30
Republic of Korea,4.0,,,,0.0,2020-01-30
Viet Nam,2.0,,,,0.0,2020-01-30
Singapore,10.0,,,,0.0,2020-01-30
Australia,7.0,,,,0.0,2020-01-30
Malaysia,7.0,,,,0.0,2020-01-30
Cambodia,1.0,,,,0.0,2020-01-30
Philippines,1.0,,,,0.0,2020-01-30
Thailand,14.0,,,,0.0,2020-01-30
Nepal,1.0,,,,0.0,2020-01-30
Sri Lanka,1.0,,,,0.0,2020-01-30
India,1.0,,,,0.0,2020-01-30
United States of America,5.0,,,,0.0,2020-01-30
Canada,3.0,,,,0.0,2020-01-30
France,5.0,,,,0.0,2020-01-30
Finland,1.0,,,,0.0,2020-01-30
Germany,4.0,,,,0.0,2020-01-30
United Arab Emirates,4.0,,,,0.0,2020-01-30
Total,7818.0,,,,170.0,2020-01-30
Hong Kong,10.0,,,,0.0,2020-01-30
Macau,7.0,,,,0.0,2020-01-30
