"Country or Area","Year(s)","Variant","Value"
"Afghanistan","2015-2020","Medium","6.517"
"Afghanistan","2010-2015","Medium","7.498"
"Afghanistan","2005-2010","Medium","9.124"
"Afghanistan","2000-2005","Medium","10.888"
"Africa","2015-2020","Medium","8.187"
"Africa","2010-2015","Medium","9.326"
"Africa","2005-2010","Medium","11.05"
"Africa","2000-2005","Medium","12.859"
"Albania","2015-2020","Medium","7.821"
"Albania","2010-2015","Medium","6.996"
"Albania","2005-2010","Medium","6.688"
"Albania","2000-2005","Medium","5.822"
"Algeria","2015-2020","Medium","4.719"
"Algeria","2010-2015","Medium","4.705"
"Algeria","2005-2010","Medium","4.634"
"Algeria","2000-2005","Medium","4.791"
"American Samoa","2015-2020","Medium",""
"American Samoa","2010-2015","Medium",""
"American Samoa","2005-2010","Medium",""
"American Samoa","2000-2005","Medium",""
"Andorra","2015-2020","Medium",""
"Andorra","2010-2015","Medium",""
"Andorra","2005-2010","Medium",""
"Andorra","2000-2005","Medium",""
"Angola","2015-2020","Medium","8.332"
"Angola","2010-2015","Medium","10.146"
"Angola","2005-2010","Medium","13.451"
"Angola","2000-2005","Medium","16.828"
"Anguilla","2015-2020","Medium",""
"Anguilla","2010-2015","Medium",""
"Anguilla","2005-2010","Medium",""
"Anguilla","2000-2005","Medium",""
"Antigua and Barbuda","2015-2020","Medium","6.344"
"Antigua and Barbuda","2010-2015","Medium","6.141"
"Antigua and Barbuda","2005-2010","Medium","6.004"
"Antigua and Barbuda","2000-2005","Medium","6.005"
"Argentina","2015-2020","Medium","7.612"
"Argentina","2010-2015","Medium","7.675"
"Argentina","2005-2010","Medium","7.743"
"Argentina","2000-2005","Medium","7.81"
"Armenia","2015-2020","Medium","9.905"
"Armenia","2010-2015","Medium","9.699"
"Armenia","2005-2010","Medium","9.662"
"Armenia","2000-2005","Medium","8.675"
"Aruba","2015-2020","Medium","8.974"
"Aruba","2010-2015","Medium","8.295"
"Aruba","2005-2010","Medium","7.58"
"Aruba","2000-2005","Medium","7.135"
"Asia","2015-2020","Medium","6.897"
"Asia","2010-2015","Medium","6.884"
"Asia","2005-2010","Medium","7.058"
"Asia","2000-2005","Medium","7.243"
"Australia","2015-2020","Medium","6.598"
"Australia","2010-2015","Medium","6.536"
"Australia","2005-2010","Medium","6.569"
"Australia","2000-2005","Medium","6.696"
"Australia/New Zealand","2015-2020","Medium","6.66"
"Australia/New Zealand","2010-2015","Medium","6.59"
"Australia/New Zealand","2005-2010","Medium","6.613"
"Australia/New Zealand","2000-2005","Medium","6.763"
"Austria","2015-2020","Medium","9.873"
"Austria","2010-2015","Medium","9.409"
"Austria","2005-2010","Medium","9.228"
"Austria","2000-2005","Medium","9.444"
"Azerbaijan","2015-2020","Medium","6.752"
"Azerbaijan","2010-2015","Medium","6.66"
"Azerbaijan","2005-2010","Medium","6.682"
"Azerbaijan","2000-2005","Medium","7.279"
"Bahamas","2015-2020","Medium","6.714"
"Bahamas","2010-2015","Medium","6.668"
"Bahamas","2005-2010","Medium","6.416"
"Bahamas","2000-2005","Medium","6.032"
"Bahrain","2015-2020","Medium","2.382"
"Bahrain","2010-2015","Medium","2.342"
"Bahrain","2005-2010","Medium","2.363"
"Bahrain","2000-2005","Medium","2.653"
"Bangladesh","2015-2020","Medium","5.548"
"Bangladesh","2010-2015","Medium","5.603"
"Bangladesh","2005-2010","Medium","5.95"
"Bangladesh","2000-2005","Medium","6.549"
"Barbados","2015-2020","Medium","8.98"
"Barbados","2010-2015","Medium","8.58"
"Barbados","2005-2010","Medium","8.151"
"Barbados","2000-2005","Medium","7.721"
"Belarus","2015-2020","Medium","12.554"
"Belarus","2010-2015","Medium","13.25"
"Belarus","2005-2010","Medium","15.151"
"Belarus","2000-2005","Medium","15.432"
"Belgium","2015-2020","Medium","9.794"
"Belgium","2010-2015","Medium","9.794"
"Belgium","2005-2010","Medium","9.831"
"Belgium","2000-2005","Medium","10.2"
"Belize","2015-2020","Medium","4.702"
"Belize","2010-2015","Medium","4.599"
"Belize","2005-2010","Medium","4.71"
"Belize","2000-2005","Medium","5.34"
"Benin","2015-2020","Medium","8.959"
"Benin","2010-2015","Medium","9.725"
"Benin","2005-2010","Medium","10.571"
"Benin","2000-2005","Medium","12.056"
"Bermuda","2015-2020","Medium",""
"Bermuda","2010-2015","Medium",""
"Bermuda","2005-2010","Medium",""
"Bermuda","2000-2005","Medium",""
"Bhutan","2015-2020","Medium","6.254"
"Bhutan","2010-2015","Medium","6.328"
"Bhutan","2005-2010","Medium","6.677"
"Bhutan","2000-2005","Medium","7.861"
"Bolivia (Plurinational State of)","2015-2020","Medium","6.785"
"Bolivia (Plurinational State of)","2010-2015","Medium","7.117"
"Bolivia (Plurinational State of)","2005-2010","Medium","7.878"
"Bolivia (Plurinational State of)","2000-2005","Medium","8.819"
"Bonaire, Sint Eustatius and Saba","2015-2020","Medium",""
"Bonaire, Sint Eustatius and Saba","2010-2015","Medium",""
"Bonaire, Sint Eustatius and Saba","2005-2010","Medium",""
"Bonaire, Sint Eustatius and Saba","2000-2005","Medium",""
"Bosnia and Herzegovina","2015-2020","Medium","10.614"
"Bosnia and Herzegovina","2010-2015","Medium","10.04"
"Bosnia and Herzegovina","2005-2010","Medium","9.405"
"Bosnia and Herzegovina","2000-2005","Medium","8.466"
"Botswana","2015-2020","Medium","5.802"
"Botswana","2010-2015","Medium","7.321"
"Botswana","2005-2010","Medium","11.173"
"Botswana","2000-2005","Medium","14.151"
"Brazil","2015-2020","Medium","6.417"
"Brazil","2010-2015","Medium","6.132"
"Brazil","2005-2010","Medium","6.017"
"Brazil","2000-2005","Medium","6.108"
"British Virgin Islands","2015-2020","Medium",""
"British Virgin Islands","2010-2015","Medium",""
"British Virgin Islands","2005-2010","Medium",""
"British Virgin Islands","2000-2005","Medium",""
"Brunei Darussalam","2015-2020","Medium","4.403"
"Brunei Darussalam","2010-2015","Medium","3.967"
"Brunei Darussalam","2005-2010","Medium","3.715"
"Brunei Darussalam","2000-2005","Medium","3.369"
"Bulgaria","2015-2020","Medium","15.382"
"Bulgaria","2010-2015","Medium","14.92"
"Bulgaria","2005-2010","Medium","14.808"
"Bulgaria","2000-2005","Medium","14.364"
"Burkina Faso","2015-2020","Medium","8.274"
"Burkina Faso","2010-2015","Medium","9.576"
"Burkina Faso","2005-2010","Medium","11.923"
"Burkina Faso","2000-2005","Medium","14.625"
"Burundi","2015-2020","Medium","8.042"
"Burundi","2010-2015","Medium","9.187"
"Burundi","2005-2010","Medium","11.21"
"Burundi","2000-2005","Medium","13.413"
"Cabo Verde","2015-2020","Medium","5.642"
"Cabo Verde","2010-2015","Medium","5.954"
"Cabo Verde","2005-2010","Medium","5.996"
"Cabo Verde","2000-2005","Medium","5.864"
"Cambodia","2015-2020","Medium","6.006"
"Cambodia","2010-2015","Medium","6.301"
"Cambodia","2005-2010","Medium","6.901"
"Cambodia","2000-2005","Medium","8.309"
"Cameroon","2015-2020","Medium","9.355"
"Cameroon","2010-2015","Medium","10.841"
"Cameroon","2005-2010","Medium","12.326"
"Cameroon","2000-2005","Medium","13.808"
"Canada","2015-2020","Medium","7.712"
"Canada","2010-2015","Medium","7.301"
"Canada","2005-2010","Medium","7.177"
"Canada","2000-2005","Medium","7.206"
"Caribbean","2015-2020","Medium","7.995"
"Caribbean","2010-2015","Medium","7.817"
"Caribbean","2005-2010","Medium","7.725"
"Caribbean","2000-2005","Medium","7.852"
"Cayman Islands","2015-2020","Medium",""
"Cayman Islands","2010-2015","Medium",""
"Cayman Islands","2005-2010","Medium",""
"Cayman Islands","2000-2005","Medium",""
"Central African Republic","2015-2020","Medium","12.388"
"Central African Republic","2010-2015","Medium","15.057"
"Central African Republic","2005-2010","Medium","17.446"
"Central African Republic","2000-2005","Medium","19.126"
"Central America","2015-2020","Medium","5.725"
"Central America","2010-2015","Medium","5.41"
"Central America","2005-2010","Medium","5.091"
"Central America","2000-2005","Medium","4.883"
"Central and Southern Asia","2015-2020","Medium","6.899"
"Central and Southern Asia","2010-2015","Medium","6.993"
"Central and Southern Asia","2005-2010","Medium","7.52"
"Central and Southern Asia","2000-2005","Medium","8.064"
"Central Asia","2015-2020","Medium","6.136"
"Central Asia","2010-2015","Medium","6.912"
"Central Asia","2005-2010","Medium","7.5"
"Central Asia","2000-2005","Medium","7.894"
"Chad","2015-2020","Medium","12.241"
"Chad","2010-2015","Medium","13.492"
"Chad","2005-2010","Medium","15.746"
"Chad","2000-2005","Medium","17.298"
"Channel Islands","2015-2020","Medium","7.808"
"Channel Islands","2010-2015","Medium","7.969"
"Channel Islands","2005-2010","Medium","8.184"
"Channel Islands","2000-2005","Medium","8.733"
"Chile","2015-2020","Medium","6.12"
"Chile","2010-2015","Medium","5.755"
"Chile","2005-2010","Medium","5.539"
