Confirmed cases,Country/Territory/Area,Days since last reported case,Total cases with possible or confirmed transmission In reporting country,Total cases with possible or confirmed transmission Outside reporting country and outside China,Total cases with possible or confirmed transmission outside of China,Total cases with site of transmission under investigation,Total cases with travel history to China,Total deaths,Transmission classification,report date
278.0,China,,,,,,,6.0,,2020-01-21
1.0,Japan,,,,,,,0.0,,2020-01-21
1.0,Republic of Korea,,,,,,,0.0,,2020-01-21
2.0,Thailand,,,,,,,0.0,,2020-01-21
282.0,Total,,,,,,,6.0,,2020-01-21
309.0,China,,,,,,,6.0,,2020-01-22
1.0,Taiwan,,,,,,,0.0,,2020-01-22
1.0,Japan,,,,,,,0.0,,2020-01-22
1.0,Republic of Korea,,,,,,,0.0,,2020-01-22
2.0,Thailand,,,,,,,0.0,,2020-01-22
314.0,Total,,,,,,,6.0,,2020-01-22
571.0,China,,,,,,,17.0,,2020-01-23
1.0,Taiwan,,,,,,,0.0,,2020-01-23
1.0,Hong Kong,,,,,,,0.0,,2020-01-23
1.0,Macau,,,,,,,0.0,,2020-01-23
1.0,Japan,,,,,,,0.0,,2020-01-23
1.0,Republic of Korea,,,,,,,0.0,,2020-01-23
4.0,Thailand,,,,,,,0.0,,2020-01-23
1.0,United States of America,,,,,,,0.0,,2020-01-23
581.0,Total,,,,,,,17.0,,2020-01-23
1.0,Japan,,,,,,,0.0,,2020-01-24
2.0,Republic of Korea,,,,,,,0.0,,2020-01-24
2.0,Viet Nam,,,,,,,0.0,,2020-01-24
1.0,Singapore,,,,,,,0.0,,2020-01-24
4.0,Thailand,,,,,,,0.0,,2020-01-24
1.0,United States of America,,,,,,,0.0,,2020-01-24
846.0,Total,,,,,,,25.0,,2020-01-24
1.0,Taiwan,,,,,,,0.0,,2020-01-24
2.0,Hong Kong,,,,,,,0.0,,2020-01-24
2.0,Macau,,,,,,,0.0,,2020-01-24
830.0,China,,,,,,,25.0,,2020-01-24
1287.0,China,,,,,,,41.0,,2020-01-25
3.0,Japan,,,,,,,0.0,,2020-01-25
2.0,Republic of Korea,,,,,,,0.0,,2020-01-25
2.0,Viet Nam,,,,,,,0.0,,2020-01-25
3.0,Singapore,,,,,,,0.0,,2020-01-25
3.0,Australia,,,,,,,0.0,,2020-01-25
4.0,Thailand,,,,,,,0.0,,2020-01-25
1.0,Nepal,,,,,,,0.0,,2020-01-25
2.0,United States of America,,,,,,,0.0,,2020-01-25
3.0,France,,,,,,,0.0,,2020-01-25
1320.0,Total,,,,,,,41.0,,2020-01-25
5.0,Hong Kong,,,,,,,0.0,,2020-01-25
2.0,Macau,,,,,,,0.0,,2020-01-25
3.0,Taiwan,,,,,,,0.0,,2020-01-25
1975.0,China,,,,,,,56.0,,2020-01-26
3.0,Japan,,,,,,,0.0,,2020-01-26
2.0,Republic of Korea,,,,,,,0.0,,2020-01-26
2.0,Viet Nam,,,,,,,0.0,,2020-01-26
4.0,Singapore,,,,,,,0.0,,2020-01-26
4.0,Australia,,,,,,,0.0,,2020-01-26
3.0,Malaysia,,,,,,,0.0,,2020-01-26
5.0,Thailand,,,,,,,0.0,,2020-01-26
1.0,Nepal,,,,,,,0.0,,2020-01-26
2.0,United States of America,,,,,,,0.0,,2020-01-26
3.0,France,,,,,,,0.0,,2020-01-26
2014.0,Total,,,,,,,56.0,,2020-01-26
5.0,Hong Kong,,,,,,,0.0,,2020-01-26
2.0,Macau,,,,,,,0.0,,2020-01-26
