report date,Total deaths,Confirmed cases,currently infected,time,population,random graph probability,susceptible,theta,alpha,gamma,country,R0,beta,delta,theta fitted,death fitted,susceptible fitted,infected fitted,graph type
2020-02-15,0.0,1.0,1.0,0.0,1312089474.0,9.145717763105628e-08,1312089473.0,0.9999999999936487,9.062038923857152e-05,2.233906681814446e-05,Africa,23.993757898040034,0.0011051093750000002,0.004421875,0.9999999999936487,0.0,1312089473.0,1.0,poisson
2020-02-16,0.0,1.0,1.0,1.0,1312179066.0,9.145717763105628e-08,1312179065.0,0.9999999999936496,9.062038923857152e-05,2.233906681814446e-05,Africa,23.993757898040034,0.0011051093750000002,0.004421875,0.9999999999926872,0.0,1312179065.0,1.0,poisson
2020-02-17,0.0,1.0,1.0,2.0,1312268663.0,9.145717763105628e-08,1312268662.0,0.9999999999936504,9.062038923857152e-05,2.233906681814446e-05,Africa,23.993757898040034,0.0011051093750000002,0.004421875,0.9999999999913646,0.0,1312268662.0,1.0,poisson
2020-02-18,0.0,1.0,1.0,3.0,1312358266.0,9.145717763105628e-08,1312358265.0,0.9999999999936514,9.062038923857152e-05,2.233906681814446e-05,Africa,23.993757898040034,0.0011051093750000002,0.004421875,0.9999999999894936,0.0,1312358264.0,2.0,poisson
2020-02-19,0.0,1.0,1.0,4.0,1312447876.0,9.145717763105628e-08,1312447875.0,0.9999999999936524,9.062038923857152e-05,2.233906681814446e-05,Africa,23.993757898040034,0.0011051093750000002,0.004421875,0.9999999999867762,0.0,1312447874.0,2.0,poisson
2020-02-20,0.0,1.0,1.0,5.0,1312537492.0,9.145717763105628e-08,1312537491.0,0.9999999999936532,9.062038923857152e-05,2.233906681814446e-05,Africa,23.993757898040034,0.0011051093750000002,0.004421875,0.9999999999827176,0.0,1312537489.0,3.0,poisson
2020-02-21,0.0,1.0,1.0,6.0,1312627113.0,9.145717763105628e-08,1312627112.0,0.9999999999936541,9.062038923857152e-05,2.233906681814446e-05,Africa,23.993757898040034,0.0011051093750000002,0.004421875,0.9999999999764704,0.0,1312627109.0,4.0,poisson
2020-02-22,0.0,1.0,1.0,7.0,1312716741.0,9.145717763105628e-08,1312716740.0,0.9999999999936549,9.062038923857152e-05,2.233906681814446e-05,Africa,23.993757898040034,0.0011051093750000002,0.004421875,0.9999999999665355,0.0,1312716736.0,5.0,poisson
2020-02-23,0.0,1.0,1.0,8.0,1312806375.0,9.145717763105628e-08,1312806374.0,0.9999999999936556,9.062038923857152e-05,2.233906681814446e-05,Africa,23.993757898040034,0.0011051093750000002,0.004421875,0.9999999999501629,0.0,1312806367.0,8.0,poisson
2020-02-24,0.0,1.0,1.0,9.0,1312896016.0,9.145717763105628e-08,1312896015.0,0.9999999999936566,9.062038923857152e-05,2.233906681814446e-05,Africa,23.993757898040034,0.0011051093750000002,0.004421875,0.9999999999428708,0.0,1312896007.0,9.0,poisson
