report date,Number recovered,Number of deaths,Cumulative number of cases,currently infected,time,population,random graph probability,susceptible,theta,alpha,gamma,country,R0,beta,delta,epsilon,theta fitted,recovered fitted,death fitted,susceptible fitted,infected fitted,graph type
2003-04-10,22.0,10.0,97.0,65.0,0,31206276.0,3.845380456334503e-06,31206179.0,0.9999999740970504,2.8739561684698604e-05,1.966816324361353e-05,Canada,0.7125002226563195,5e-05,0.00837,1.05e-06,0.9999999740970504,22,10,31206179,65,poisson
2003-04-11,25.0,10.0,98.0,63.0,1,31206559.0,3.845380456334503e-06,31206461.0,0.999999973830484,2.8739561684698604e-05,1.966816324361353e-05,Canada,0.7125002226563195,5e-05,0.00837,1.05e-06,0.9999999741582896,22,11,31206462,64,poisson
2003-04-12,26.0,10.0,101.0,65.0,2,31206842.0,3.845380456334503e-06,31206741.0,0.9999999730298644,2.8739561684698604e-05,1.966816324361353e-05,Canada,0.7125002226563195,5e-05,0.00837,1.05e-06,0.9999999742194864,22,11,31206745,63,poisson
2003-04-14,27.0,13.0,100.0,60.0,4,31207408.0,3.845380456334503e-06,31207308.0,0.9999999732978644,2.8739561684698604e-05,1.966816324361353e-05,Canada,0.7125002226563195,5e-05,0.00837,1.05e-06,0.9999999743403496,22,12,31207312,62,poisson
2003-04-15,27.0,13.0,100.0,60.0,5,31207691.0,3.845380456334503e-06,31207591.0,0.9999999732983488,2.8739561684698604e-05,1.966816324361353e-05,Canada,0.7125002226563195,5e-05,0.00837,1.05e-06,0.9999999744003318,22,13,31207595,61,poisson
2003-04-16,37.0,13.0,103.0,53.0,6,31207974.0,3.845380456334503e-06,31207871.0,0.9999999724977966,2.8739561684698604e-05,1.966816324361353e-05,Canada,0.7125002226563195,5e-05,0.00837,1.05e-06,0.9999999744609503,22,13,31207878,61,poisson
2003-04-17,46.0,12.0,126.0,68.0,7,31208257.0,3.845380456334503e-06,31208131.0,0.9999999663571256,2.8739561684698604e-05,1.966816324361353e-05,Canada,0.7125002226563195,5e-05,0.00837,1.05e-06,0.99999997452034,22,14,31208162,60,poisson
2003-04-18,54.0,12.0,132.0,66.0,8,31208540.0,3.845380456334503e-06,31208408.0,0.9999999647557198,2.8739561684698604e-05,1.966816324361353e-05,Canada,0.7125002226563195,5e-05,0.00837,1.05e-06,0.9999999745806718,22,14,31208445,59,poisson
2003-04-19,54.0,12.0,132.0,66.0,9,31208824.0,3.845380456334503e-06,31208692.0,0.9999999647563612,2.8739561684698604e-05,1.966816324361353e-05,Canada,0.7125002226563195,5e-05,0.00837,1.05e-06,0.9999999746394788,22,15,31208729,58,poisson
2003-04-21,54.0,12.0,132.0,66.0,11,31209390.0,3.845380456334503e-06,31209258.0,0.9999999647576396,2.8739561684698604e-05,1.966816324361353e-05,Canada,0.7125002226563195,5e-05,0.00837,1.05e-06,0.9999999747562516,22,16,31209295,57,poisson
