0.3 beta,0.3 death fitted,0.3 delta,0.3 epsilon,0.3 infected fitted,0.3 recovered fitted,0.3 susceptible fitted,0.3 theta fitted,0.4 beta,0.4 death fitted,0.4 delta,0.4 epsilon,0.4 infected fitted,0.4 recovered fitted,0.4 susceptible fitted,0.4 theta fitted,0.5 beta,0.5 death fitted,0.5 delta,0.5 epsilon,0.5 infected fitted,0.5 recovered fitted,0.5 susceptible fitted,0.5 theta fitted,0.75 beta,0.75 death fitted,0.75 delta,0.75 epsilon,0.75 infected fitted,0.75 recovered fitted,0.75 susceptible fitted,0.75 theta fitted,0.9 beta,0.9 death fitted,0.9 delta,0.9 epsilon,0.9 infected fitted,0.9 recovered fitted,0.9 susceptible fitted,0.9 theta fitted,Cumulative number of cases,Number of deaths,Number recovered,alpha,country,currently infected,gamma,graph type,population,random graph probability,report date,susceptible,theta,time
5.246311784355337e-05,10.0,0.006778137178610399,1.1491252588579127e-06,65.0,22.0,31206179.0,1.0,5.146863032978969e-05,10.0,0.007396775511188272,1.0986130758459075e-06,65.0,22.0,31206179.0,1.0,5.119069535669001e-05,10.0,0.0076138562541973875,1.0711694501732669e-06,65.0,22.0,31206179.0,1.0,5.236111111111112e-05,10.0,0.00830025,1.0472222222222219e-06,65.0,22.0,31206179.0,1.0,5e-05,10.0,0.00837,1.05e-06,65.0,22.0,31206179.0,1.0,97.0,10.0,22.0,2.8739561684698604e-05,Canada,65.0,1.966816324361353e-05,poisson,31206276.0,3.845380456334503e-06,2003-04-10,31206179.0,0.9999999740970504,0
5.246311784355337e-05,10.0,0.006778137178610399,1.1491252588579127e-06,65.0,22.0,31206462.0,1.0,5.146863032978969e-05,10.0,0.007396775511188272,1.0986130758459075e-06,64.0,22.0,31206462.0,1.0,5.119069535669001e-05,10.0,0.0076138562541973875,1.0711694501732669e-06,64.0,22.0,31206462.0,1.0,5.236111111111112e-05,11.0,0.00830025,1.0472222222222219e-06,64.0,22.0,31206462.0,1.0,5e-05,11.0,0.00837,1.05e-06,64.0,22.0,31206462.0,1.0,98.0,10.0,25.0,2.8739561684698604e-05,Canada,63.0,1.966816324361353e-05,poisson,31206559.0,3.845380456334503e-06,2003-04-11,31206461.0,0.999999973830484,1
5.246311784355337e-05,11.0,0.006778137178610399,1.1491252588579127e-06,64.0,22.0,31206745.0,1.0,5.146863032978969e-05,11.0,0.007396775511188272,1.0986130758459075e-06,64.0,22.0,31206745.0,1.0,5.119069535669001e-05,11.0,0.0076138562541973875,1.0711694501732669e-06,64.0,22.0,31206745.0,1.0,5.236111111111112e-05,11.0,0.00830025,1.0472222222222219e-06,64.0,22.0,31206745.0,1.0,5e-05,11.0,0.00837,1.05e-06,63.0,22.0,31206745.0,1.0,101.0,10.0,26.0,2.8739561684698604e-05,Canada,65.0,1.966816324361353e-05,poisson,31206842.0,3.845380456334503e-06,2003-04-12,31206741.0,0.9999999730298644,2
5.246311784355337e-05,12.0,0.006778137178610399,1.1491252588579127e-06,63.0,22.0,31207311.0,1.0,5.146863032978969e-05,12.0,0.007396775511188272,1.0986130758459075e-06,63.0,22.0,31207311.0,1.0,5.119069535669001e-05,12.0,0.0076138562541973875,1.0711694501732669e-06,63.0,22.0,31207312.0,1.0,5.236111111111112e-05,12.0,0.00830025,1.0472222222222219e-06,62.0,22.0,31207312.0,1.0,5e-05,12.0,0.00837,1.05e-06,62.0,22.0,31207312.0,1.0,100.0,13.0,27.0,2.8739561684698604e-05,Canada,60.0,1.966816324361353e-05,poisson,31207408.0,3.845380456334503e-06,2003-04-14,31207308.0,0.9999999732978644,4
5.246311784355337e-05,12.0,0.006778137178610399,1.1491252588579127e-06,63.0,22.0,31207594.0,1.0,5.146863032978969e-05,12.0,0.007396775511188272,1.0986130758459075e-06,62.0,22.0,31207595.0,1.0,5.119069535669001e-05,12.0,0.0076138562541973875,1.0711694501732669e-06,62.0,22.0,31207595.0,1.0,5.236111111111112e-05,13.0,0.00830025,1.0472222222222219e-06,61.0,22.0,31207595.0,1.0,5e-05,13.0,0.00837,1.05e-06,61.0,22.0,31207595.0,1.0,100.0,13.0,27.0,2.8739561684698604e-05,Canada,60.0,1.966816324361353e-05,poisson,31207691.0,3.845380456334503e-06,2003-04-15,31207591.0,0.9999999732983488,5
5.246311784355337e-05,12.0,0.006778137178610399,1.1491252588579127e-06,62.0,22.0,31207877.0,1.0,5.146863032978969e-05,13.0,0.007396775511188272,1.0986130758459075e-06,62.0,22.0,31207878.0,1.0,5.119069535669001e-05,13.0,0.0076138562541973875,1.0711694501732669e-06,61.0,22.0,31207878.0,1.0,5.236111111111112e-05,13.0,0.00830025,1.0472222222222219e-06,61.0,22.0,31207878.0,1.0,5e-05,13.0,0.00837,1.05e-06,61.0,22.0,31207878.0,1.0,103.0,13.0,37.0,2.8739561684698604e-05,Canada,53.0,1.966816324361353e-05,poisson,31207974.0,3.845380456334503e-06,2003-04-16,31207871.0,0.9999999724977966,6
5.246311784355337e-05,13.0,0.006778137178610399,1.1491252588579127e-06,62.0,22.0,31208160.0,1.0,5.146863032978969e-05,13.0,0.007396775511188272,1.0986130758459075e-06,61.0,22.0,31208161.0,1.0,5.119069535669001e-05,13.0,0.0076138562541973875,1.0711694501732669e-06,61.0,22.0,31208161.0,1.0,5.236111111111112e-05,14.0,0.00830025,1.0472222222222219e-06,60.0,22.0,31208161.0,1.0,5e-05,14.0,0.00837,1.05e-06,60.0,22.0,31208162.0,1.0,126.0,12.0,46.0,2.8739561684698604e-05,Canada,68.0,1.966816324361353e-05,poisson,31208257.0,3.845380456334503e-06,2003-04-17,31208131.0,0.9999999663571256,7
5.246311784355337e-05,13.0,0.006778137178610399,1.1491252588579127e-06,61.0,22.0,31208443.0,1.0,5.146863032978969e-05,14.0,0.007396775511188272,1.0986130758459075e-06,60.0,22.0,31208444.0,1.0,5.119069535669001e-05,14.0,0.0076138562541973875,1.0711694501732669e-06,60.0,22.0,31208444.0,1.0,5.236111111111112e-05,14.0,0.00830025,1.0472222222222219e-06,59.0,22.0,31208445.0,1.0,5e-05,14.0,0.00837,1.05e-06,59.0,22.0,31208445.0,1.0,132.0,12.0,54.0,2.8739561684698604e-05,Canada,66.0,1.966816324361353e-05,poisson,31208540.0,3.845380456334503e-06,2003-04-18,31208408.0,0.9999999647557198,8
5.246311784355337e-05,14.0,0.006778137178610399,1.1491252588579127e-06,61.0,22.0,31208727.0,1.0,5.146863032978969e-05,14.0,0.007396775511188272,1.0986130758459075e-06,60.0,22.0,31208728.0,1.0,5.119069535669001e-05,14.0,0.0076138562541973875,1.0711694501732669e-06,59.0,22.0,31208728.0,1.0,5.236111111111112e-05,15.0,0.00830025,1.0472222222222219e-06,59.0,22.0,31208729.0,1.0,5e-05,15.0,0.00837,1.05e-06,58.0,22.0,31208729.0,1.0,132.0,12.0,54.0,2.8739561684698604e-05,Canada,66.0,1.966816324361353e-05,poisson,31208824.0,3.845380456334503e-06,2003-04-19,31208692.0,0.9999999647563612,9
5.246311784355337e-05,15.0,0.006778137178610399,1.1491252588579127e-06,60.0,22.0,31209293.0,1.0,5.146863032978969e-05,15.0,0.007396775511188272,1.0986130758459075e-06,59.0,22.0,31209294.0,1.0,5.119069535669001e-05,15.0,0.0076138562541973875,1.0711694501732669e-06,58.0,22.0,31209295.0,1.0,5.236111111111112e-05,16.0,0.00830025,1.0472222222222219e-06,57.0,22.0,31209295.0,1.0,5e-05,16.0,0.00837,1.05e-06,57.0,22.0,31209295.0,1.0,132.0,12.0,54.0,2.8739561684698604e-05,Canada,66.0,1.966816324361353e-05,poisson,31209390.0,3.845380456334503e-06,2003-04-21,31209258.0,0.9999999647576396,11
5.246311784355337e-05,15.0,0.006778137178610399,1.1491252588579127e-06,59.0,22.0,31209577.0,1.0,5.146863032978969e-05,16.0,0.007396775511188272,1.0986130758459075e-06,58.0,22.0,31209577.0,1.0,5.119069535669001e-05,16.0,0.0076138562541973875,1.0711694501732669e-06,58.0,22.0,31209578.0,1.0,5.236111111111112e-05,16.0,0.00830025,1.0472222222222219e-06,56.0,22.0,31209578.0,1.0,5e-05,16.0,0.00837,1.05e-06,56.0,22.0,31209579.0,1.0,139.0,13.0,65.0,2.8739561684698604e-05,Canada,61.0,1.966816324361353e-05,poisson,31209673.0,3.845380456334503e-06,2003-04-22,31209534.0,0.9999999628893954,12
5.246311784355337e-05,16.0,0.006778137178610399,1.1491252588579127e-06,59.0,22.0,31209860.0,1.0,5.146863032978969e-05,16.0,0.007396775511188272,1.0986130758459075e-06,57.0,22.0,31209860.0,1.0,5.119069535669001e-05,16.0,0.0076138562541973875,1.0711694501732669e-06,57.0,22.0,31209861.0,1.0,5.236111111111112e-05,17.0,0.00830025,1.0472222222222219e-06,56.0,22.0,31209861.0,1.0,5e-05,17.0,0.00837,1.05e-06,55.0,22.0,31209862.0,1.0,140.0,13.0,65.0,2.8739561684698604e-05,Canada,62.0,1.966816324361353e-05,poisson,31209956.0,3.845380456334503e-06,2003-04-23,31209816.0,0.99999996262309,13
5.246311784355337e-05,16.0,0.006778137178610399,1.1491252588579127e-06,58.0,22.0,31210143.0,1.0,5.146863032978969e-05,16.0,0.007396775511188272,1.0986130758459075e-06,57.0,22.0,31210144.0,1.0,5.119069535669001e-05,17.0,0.0076138562541973875,1.0711694501732669e-06,56.0,22.0,31210144.0,1.0,5.236111111111112e-05,17.0,0.00830025,1.0472222222222219e-06,55.0,22.0,31210145.0,1.0,5e-05,17.0,0.00837,1.05e-06,55.0,22.0,31210145.0,1.0,140.0,15.0,67.0,2.8739561684698604e-05,Canada,58.0,1.966816324361353e-05,poisson,31210239.0,3.845380456334503e-06,2003-04-24,31210099.0,0.9999999626237676,14
5.246311784355337e-05,16.0,0.006778137178610399,1.1491252588579127e-06,58.0,22.0,31210426.0,1.0,5.146863032978969e-05,17.0,0.007396775511188272,1.0986130758459075e-06,56.0,22.0,31210427.0,1.0,5.119069535669001e-05,17.0,0.0076138562541973875,1.0711694501732669e-06,56.0,22.0,31210427.0,1.0,5.236111111111112e-05,18.0,0.00830025,1.0472222222222219e-06,54.0,22.0,31210428.0,1.0,5e-05,18.0,0.00837,1.05e-06,54.0,22.0,31210428.0,1.0,140.0,15.0,74.0,2.8739561684698604e-05,Canada,51.0,1.966816324361353e-05,poisson,31210522.0,3.845380456334503e-06,2003-04-25,31210382.0,0.9999999626244456,15
