Female,Number recovered,Country,Male,Number of cases currently hospitalised,Case fatality ratio (%),Number of deaths,Date of last report,Date for which cumulative number of cases is current,Number of new cases since last WHO update,Local transmission,Date onset first probable case,Cumulative number of cases,report date,Number of imported cases,percentage of imported cases,Number of HCW affected,percentage of HCW affected,median age,minimum age,maximum age
,,Germany,,,,0.0,,,,No,,1.0,2003-03-17,,,,,,,
,,Canada,,,,2.0,,,,Yes,,8.0,2003-03-17,,,,,,,
,,Singapore,,,,0.0,,,,Yes,,20.0,2003-03-17,,,,,,,
,,Hong Kong,,,,1.0,,,,Yes,,95.0,2003-03-17,,,,,,,
,,Switzerland,,,,0.0,,,,,,2.0,2003-03-17,,,,,,,
,,Thailand,,,,0.0,,,,No,,1.0,2003-03-17,,,,,,,
,,Viet Nam,,,,1.0,,,,Yes,,40.0,2003-03-17,,,,,,,
,,Total,,,,4.0,,,,,,167.0,2003-03-17,,,,,,,
,,Germany,,,,0.0,,,,No,,2.0,2003-03-18,,,,,,,
,,Canada,,,,2.0,,,,Yes,,8.0,2003-03-18,,,,,,,
,,China,,,,,,,,,,,2003-03-18,,,,,,,
,,Singapore,,,,0.0,,,,Yes,,23.0,2003-03-18,,,,,,,
,,Hong Kong,,,,1.0,,,,Yes,,123.0,2003-03-18,,,,,,,
,,Taiwan,,,,0.0,,,,Yes,,3.0,2003-03-18,,,,,,,
,,Thailand,,,,0.0,,,,No,,1.0,2003-03-18,,,,,,,
,,Viet Nam,,,,1.0,,,,Yes,,57.0,2003-03-18,,,,,,,
,,Slovenia,,,,0.0,,,,No,,1.0,2003-03-18,,,,,,,
,,United Kingdom,,,,0.0,,,,No,,1.0,2003-03-18,,,,,,,
,,Total,,,,4.0,,,,,,219.0,2003-03-18,,,,,,,
,,Canada,,,,2.0,,,,Yes,,8.0,2003-03-19,,,,,,,
,,China,,,,,,,,,,,2003-03-19,,,,,,,
,,Germany,,,,0.0,,,,No,,1.0,2003-03-19,,,,,,,
,,Hong Kong,,,,5.0,,,,Yes,,150.0,2003-03-19,,,,,,,
,,Singapore,,,,0.0,,,,Yes,,31.0,2003-03-19,,,,,,,
,,Slovenia,,,,0.0,,,,No,,1.0,2003-03-19,,,,,,,
,,Spain,,,,0.0,,,,,,1.0,2003-03-19,,,,,,,
,,Taiwan,,,,0.0,,,,Yes,,3.0,2003-03-19,,,,,,,
,,Thailand,,,,0.0,,,,No,,1.0,2003-03-19,,,,,,,
,,United Kingdom,,,,0.0,,,,No,,1.0,2003-03-19,,,,,,,
,,United States,,,,0.0,,,,,,11.0,2003-03-19,,,,,,,
,,Viet Nam,,,,2.0,,,,Yes,,56.0,2003-03-19,,,,,,,
,,Total,,,,9.0,,,,,,264.0,2003-03-19,,,,,,,
,,Canada,,,,2.0,,,,Yes,,9.0,2003-03-20,,,,,,,
,,China,,,,,,,,,,,2003-03-20,,,,,,,
,,Germany,,,,0.0,,,,No,,1.0,2003-03-20,,,,,,,
,,Hong Kong,,,,6.0,,,,Yes,,173.0,2003-03-20,,,,,,,
,,Singapore,,,,0.0,,,,Yes,,34.0,2003-03-20,,,,,,,
,,Slovenia,,,,0.0,,,,No,,1.0,2003-03-20,,,,,,,
,,Spain,,,,0.0,,,,,,1.0,2003-03-20,,,,,,,
,,Switzerland,,,,0.0,,,,,,7.0,2003-03-20,,,,,,,
,,Taiwan,,,,0.0,,,,Yes,,4.0,2003-03-20,,,,,,,
